"InsertedDate","TicketID","BrandID","FirstlevelTAT_Seconds","TotalTAT_Seconds","IsTicketClosed","AssignToAgentUserID","ClosedBy","BrandName"
2023-12-06,435717,6954,,513,1,,14813,TATADigital
2023-12-06,435718,6954,,508,1,,14813,TATADigital
2023-12-06,435719,6954,,506,1,,14813,TATADigital
2023-12-06,435708,6954,,530,1,,14813,TATADigital
2023-12-06,435709,6954,,529,1,,14813,TATADigital
2023-12-06,435710,6954,,528,1,,14813,TATADigital
2023-12-06,435711,6954,,526,1,,14813,TATADigital
2023-12-06,435712,6954,,522,1,,14813,TATADigital
2023-12-06,435713,6954,,521,1,,14813,TATADigital
2023-12-06,435702,6954,,536,1,,14813,TATADigital
2023-12-06,435703,6954,,534,1,,14813,TATADigital
2023-12-06,435704,6954,,533,1,,14813,TATADigital
2023-12-06,435705,6954,,531,1,,14813,TATADigital
2023-12-06,435706,6954,,530,1,,14813,TATADigital
2023-12-06,435707,6954,,531,1,,14813,TATADigital
